,model,dataset,trial,run,score,performance_measure,regularization,n_train
0,g1,gtzan,0,4,0.5408602593208098,f1_score_macro,,
1,g1,gtzan,0,4,0.5408602593208098,f1_score_macro,,
2,g1,gtzan,0,4,0.5408602593208098,f1_score_macro,,
3,g1,gtzan,0,4,0.5408602593208098,f1_score_macro,,
4,g1,gtzan,0,4,0.5408602593208098,f1_score_macro,,
5,vqcodebook128,gtzan,0,4,0.5317849514386179,f1_score_macro,,
6,vqcodebook128,gtzan,0,4,0.5317849514386179,f1_score_macro,,
7,vqcodebook128,gtzan,0,4,0.5317849514386179,f1_score_macro,,
8,vqcodebook128,gtzan,0,4,0.5317849514386179,f1_score_macro,,
9,vqcodebook128,gtzan,0,4,0.5317849514386179,f1_score_macro,,
10,vqcodebook32,gtzan,0,4,0.4507626202989643,f1_score_macro,,
11,vqcodebook32,gtzan,0,4,0.4507626202989643,f1_score_macro,,
12,vqcodebook32,gtzan,0,4,0.4507626202989643,f1_score_macro,,
13,vqcodebook32,gtzan,0,4,0.4507626202989643,f1_score_macro,,
14,vqcodebook32,gtzan,0,4,0.4507626202989643,f1_score_macro,,
15,vqcodebook64,gtzan,0,4,0.5051398012671798,f1_score_macro,,
16,vqcodebook64,gtzan,0,4,0.5051398012671798,f1_score_macro,,
17,vqcodebook64,gtzan,0,4,0.5051398012671798,f1_score_macro,,
18,vqcodebook64,gtzan,0,4,0.5051398012671798,f1_score_macro,,
19,vqcodebook64,gtzan,0,4,0.5051398012671798,f1_score_macro,,
20,vqcodebook256,gtzan,0,4,0.5775684128346046,f1_score_macro,,
21,vqcodebook256,gtzan,0,4,0.5775684128346046,f1_score_macro,,
22,vqcodebook256,gtzan,0,4,0.5775684128346046,f1_score_macro,,
23,vqcodebook256,gtzan,0,4,0.5775684128346046,f1_score_macro,,
24,vqcodebook256,gtzan,0,4,0.5775684128346046,f1_score_macro,,
25,vqcodebook32,gtzan,1,4,0.4507626202989643,f1_score_macro,,
26,vqcodebook32,gtzan,1,4,0.4507626202989643,f1_score_macro,,
27,vqcodebook32,gtzan,1,4,0.4507626202989643,f1_score_macro,,
28,vqcodebook32,gtzan,1,4,0.4507626202989643,f1_score_macro,,
29,vqcodebook32,gtzan,1,4,0.4507626202989643,f1_score_macro,,
30,vqcodebook128,gtzan,1,4,0.5279831494461222,f1_score_macro,,
31,vqcodebook128,gtzan,1,4,0.5279831494461222,f1_score_macro,,
32,vqcodebook128,gtzan,1,4,0.5279831494461222,f1_score_macro,,
33,vqcodebook128,gtzan,1,4,0.5279831494461222,f1_score_macro,,
34,vqcodebook128,gtzan,1,4,0.5279831494461222,f1_score_macro,,
35,vqcodebook64,gtzan,1,4,0.5051398012671798,f1_score_macro,,
36,vqcodebook64,gtzan,1,4,0.5051398012671798,f1_score_macro,,
37,vqcodebook64,gtzan,1,4,0.5051398012671798,f1_score_macro,,
38,vqcodebook64,gtzan,1,4,0.5051398012671798,f1_score_macro,,
39,vqcodebook64,gtzan,1,4,0.5051398012671798,f1_score_macro,,
40,vqcodebook256,gtzan,1,4,0.5775684128346046,f1_score_macro,,
41,vqcodebook256,gtzan,1,4,0.5775684128346046,f1_score_macro,,
42,vqcodebook256,gtzan,1,4,0.5775684128346046,f1_score_macro,,
43,vqcodebook256,gtzan,1,4,0.5775684128346046,f1_score_macro,,
44,vqcodebook256,gtzan,1,4,0.5775684128346046,f1_score_macro,,
45,vqcodebook32,gtzan,2,4,0.4507626202989643,f1_score_macro,,
46,vqcodebook32,gtzan,2,4,0.4507626202989643,f1_score_macro,,
47,vqcodebook32,gtzan,2,4,0.4507626202989643,f1_score_macro,,
48,vqcodebook32,gtzan,2,4,0.4507626202989643,f1_score_macro,,
49,vqcodebook32,gtzan,2,4,0.4507626202989643,f1_score_macro,,
50,vqcodebook128,gtzan,2,4,0.5279831494461222,f1_score_macro,,
51,vqcodebook128,gtzan,2,4,0.5279831494461222,f1_score_macro,,
52,vqcodebook128,gtzan,2,4,0.5279831494461222,f1_score_macro,,
53,vqcodebook128,gtzan,2,4,0.5279831494461222,f1_score_macro,,
54,vqcodebook128,gtzan,2,4,0.5279831494461222,f1_score_macro,,
55,vqcodebook64,gtzan,2,4,0.5051398012671798,f1_score_macro,,
56,vqcodebook64,gtzan,2,4,0.5051398012671798,f1_score_macro,,
57,vqcodebook64,gtzan,2,4,0.5051398012671798,f1_score_macro,,
58,vqcodebook64,gtzan,2,4,0.5051398012671798,f1_score_macro,,
59,vqcodebook64,gtzan,2,4,0.5051398012671798,f1_score_macro,,
60,vqcodebook256,gtzan,2,4,0.5775684128346046,f1_score_macro,,
61,vqcodebook256,gtzan,2,4,0.5775684128346046,f1_score_macro,,
62,vqcodebook256,gtzan,2,4,0.5775684128346046,f1_score_macro,,
63,vqcodebook256,gtzan,2,4,0.5775684128346046,f1_score_macro,,
64,vqcodebook256,gtzan,2,4,0.5775684128346046,f1_score_macro,,
65,hdpgmm,gtzan,0,4,0.5897730220783839,f1_score_macro,0.0001,200k
66,hdpgmm,gtzan,0,4,0.5897730220783839,f1_score_macro,0.0001,200k
67,hdpgmm,gtzan,0,4,0.5897730220783839,f1_score_macro,0.0001,200k
68,hdpgmm,gtzan,0,4,0.5897730220783839,f1_score_macro,0.0001,200k
69,hdpgmm,gtzan,0,4,0.5897730220783839,f1_score_macro,0.0001,200k
70,hdpgmm,gtzan,0,4,0.5949312910664235,f1_score_macro,0.01,200k
71,hdpgmm,gtzan,0,4,0.5949312910664235,f1_score_macro,0.01,200k
72,hdpgmm,gtzan,0,4,0.5949312910664235,f1_score_macro,0.01,200k
73,hdpgmm,gtzan,0,4,0.5949312910664235,f1_score_macro,0.01,200k
74,hdpgmm,gtzan,0,4,0.5949312910664235,f1_score_macro,0.01,200k
75,hdpgmm,gtzan,0,4,0.6406597764799259,f1_score_macro,0.1,200k
76,hdpgmm,gtzan,0,4,0.6406597764799259,f1_score_macro,0.1,200k
77,hdpgmm,gtzan,0,4,0.6406597764799259,f1_score_macro,0.1,200k
78,hdpgmm,gtzan,0,4,0.6406597764799259,f1_score_macro,0.1,200k
79,hdpgmm,gtzan,0,4,0.6406597764799259,f1_score_macro,0.1,200k
80,hdpgmm,gtzan,0,4,0.5911193849011536,f1_score_macro,0.001,200k
81,hdpgmm,gtzan,0,4,0.5911193849011536,f1_score_macro,0.001,200k
82,hdpgmm,gtzan,0,4,0.5911193849011536,f1_score_macro,0.001,200k
83,hdpgmm,gtzan,0,4,0.5911193849011536,f1_score_macro,0.001,200k
84,hdpgmm,gtzan,0,4,0.5911193849011536,f1_score_macro,0.001,200k
85,hdpgmm,gtzan,1,4,0.5854093819869277,f1_score_macro,0.001,200k
86,hdpgmm,gtzan,1,4,0.5854093819869277,f1_score_macro,0.001,200k
87,hdpgmm,gtzan,1,4,0.5854093819869277,f1_score_macro,0.001,200k
88,hdpgmm,gtzan,1,4,0.5854093819869277,f1_score_macro,0.001,200k
89,hdpgmm,gtzan,1,4,0.5854093819869277,f1_score_macro,0.001,200k
90,hdpgmm,gtzan,1,4,0.6544811571011658,f1_score_macro,0.1,200k
91,hdpgmm,gtzan,1,4,0.6544811571011658,f1_score_macro,0.1,200k
92,hdpgmm,gtzan,1,4,0.6544811571011658,f1_score_macro,0.1,200k
93,hdpgmm,gtzan,1,4,0.6544811571011658,f1_score_macro,0.1,200k
94,hdpgmm,gtzan,1,4,0.6544811571011658,f1_score_macro,0.1,200k
95,hdpgmm,gtzan,1,4,0.6247623079641627,f1_score_macro,0.01,200k
96,hdpgmm,gtzan,1,4,0.6247623079641627,f1_score_macro,0.01,200k
97,hdpgmm,gtzan,1,4,0.6247623079641627,f1_score_macro,0.01,200k
98,hdpgmm,gtzan,1,4,0.6247623079641627,f1_score_macro,0.01,200k
99,hdpgmm,gtzan,1,4,0.6247623079641627,f1_score_macro,0.01,200k
100,hdpgmm,gtzan,1,4,0.5774277892253694,f1_score_macro,0.0001,200k
101,hdpgmm,gtzan,1,4,0.5774277892253694,f1_score_macro,0.0001,200k
102,hdpgmm,gtzan,1,4,0.5774277892253694,f1_score_macro,0.0001,200k
103,hdpgmm,gtzan,1,4,0.5774277892253694,f1_score_macro,0.0001,200k
104,hdpgmm,gtzan,1,4,0.5774277892253694,f1_score_macro,0.0001,200k
105,hdpgmm,gtzan,2,4,0.5394527649444093,f1_score_macro,0.001,200k
106,hdpgmm,gtzan,2,4,0.5394527649444093,f1_score_macro,0.001,200k
107,hdpgmm,gtzan,2,4,0.5394527649444093,f1_score_macro,0.001,200k
108,hdpgmm,gtzan,2,4,0.5394527649444093,f1_score_macro,0.001,200k
109,hdpgmm,gtzan,2,4,0.5394527649444093,f1_score_macro,0.001,200k
110,hdpgmm,gtzan,2,4,0.5460637743922818,f1_score_macro,0.0001,200k
111,hdpgmm,gtzan,2,4,0.5460637743922818,f1_score_macro,0.0001,200k
112,hdpgmm,gtzan,2,4,0.5460637743922818,f1_score_macro,0.0001,200k
113,hdpgmm,gtzan,2,4,0.5460637743922818,f1_score_macro,0.0001,200k
114,hdpgmm,gtzan,2,4,0.5460637743922818,f1_score_macro,0.0001,200k
115,hdpgmm,gtzan,2,4,0.646283906294886,f1_score_macro,0.1,200k
116,hdpgmm,gtzan,2,4,0.646283906294886,f1_score_macro,0.1,200k
117,hdpgmm,gtzan,2,4,0.646283906294886,f1_score_macro,0.1,200k
118,hdpgmm,gtzan,2,4,0.646283906294886,f1_score_macro,0.1,200k
119,hdpgmm,gtzan,2,4,0.646283906294886,f1_score_macro,0.1,200k
120,hdpgmm,gtzan,2,4,0.5941424831329459,f1_score_macro,0.01,200k
121,hdpgmm,gtzan,2,4,0.5941424831329459,f1_score_macro,0.01,200k
122,hdpgmm,gtzan,2,4,0.5941424831329459,f1_score_macro,0.01,200k
123,hdpgmm,gtzan,2,4,0.5941424831329459,f1_score_macro,0.01,200k
124,hdpgmm,gtzan,2,4,0.5941424831329459,f1_score_macro,0.01,200k
125,kim,gtzan,0,4,0.5280094292701054,f1_score_macro,,
126,kim,gtzan,0,4,0.5280094292701054,f1_score_macro,,
127,kim,gtzan,0,4,0.5280094292701054,f1_score_macro,,
128,kim,gtzan,0,4,0.5280094292701054,f1_score_macro,,
129,kim,gtzan,0,4,0.5280094292701054,f1_score_macro,,
130,kim,gtzan,1,4,0.578302111362065,f1_score_macro,,
131,kim,gtzan,1,4,0.578302111362065,f1_score_macro,,
132,kim,gtzan,1,4,0.578302111362065,f1_score_macro,,
133,kim,gtzan,1,4,0.578302111362065,f1_score_macro,,
134,kim,gtzan,1,4,0.578302111362065,f1_score_macro,,
135,kim,gtzan,2,4,0.5281004041929219,f1_score_macro,,
